Vid1;Vid2;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;START_key.started;START_key.keys;START_key.rt;visual_key.keys;visual_key.rt;sem_key.keys;sem_key.rt;pass_loop.keys;end_resp.started;end_resp.keys;end_resp.rt;participant;session;date;expName;psychopyVersion;frameRate
Sign_Stimuli/Stim1F.mp4;Sign_Stimuli/Stim1VCF.mp4;0;76;76;76;;;;['6'];[3.836573299980955];['5'];[3.161545600014506];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1M.mp4;Sign_Stimuli/Stim3VCM.mp4;0;77;77;77;;;;['2'];[0.09501879999879748];['2'];[2.3289182000153232];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3SCF.mp4;Sign_Stimuli/Stim1VCF.mp4;0;78;78;78;;;;['1'];[0.4506009000178892];['1'];[1.5840339999995194];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3VCF.mp4;Sign_Stimuli/Stim1SCF.mp4;0;79;79;79;;;;['1'];[0.5375919000071008];['2'];[2.764949300006265];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1SCM.mp4;Sign_Stimuli/Stim1F.mp4;0;80;80;80;;;;['1'];[0.8826096999982838];['1'];[2.3482314000139013];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2VCM.mp4;Sign_Stimuli/Stim1M.mp4;0;81;81;81;;;;['1'];[2.703065300011076];['1'];[1.502572900004452];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1M.mp4;Sign_Stimuli/Stim1SCM.mp4;0;82;82;82;;;;['1'];[0.7763649999978952];['1'];[2.4708009000169113];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1M.mp4;Sign_Stimuli/Stim3M.mp4;0;83;83;83;;;;['1'];[0.5660028000129387];['1'];[2.8769399999873713];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3F.mp4;Sign_Stimuli/Stim1VCM.mp4;0;84;84;84;;;;['2'];[1.279209100001026];['1'];[1.2862479999894276];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2SCF.mp4;Sign_Stimuli/Stim1VCM.mp4;0;85;85;85;;;;['2'];[2.1894780000147875];['1'];[1.796505900012562];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3SCM.mp4;Sign_Stimuli/Stim2VCF.mp4;0;86;86;86;;;;['3'];[1.2717853999929503];['1'];[4.658743100007996];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1SCM.mp4;Sign_Stimuli/Stim3SCM.mp4;0;87;87;87;;;;['1'];[0.5847457000054419];['2'];[4.382015200011665];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2SCM.mp4;Sign_Stimuli/Stim1SCF.mp4;0;88;88;88;;;;['2'];[4.241952000011224];['1'];[2.750491500017233];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2VCF.mp4;Sign_Stimuli/Stim2M.mp4;0;89;89;89;;;;['6'];[3.718297799990978];['5'];[1.9146153000183403];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3F.mp4;Sign_Stimuli/Stim2SCF.mp4;0;90;90;90;;;;['3'];[1.8385944000037853];['2'];[2.992200100008631];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3SCM.mp4;Sign_Stimuli/Stim2F.mp4;0;91;91;91;;;;['3'];[10.198727199982386];['4'];[2.527331299992511];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1VCF.mp4;Sign_Stimuli/Stim2SCM.mp4;0;92;92;92;;;;['2'];[0.5635441000049468];['1'];[1.6735500000067987];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3SCF.mp4;Sign_Stimuli/Stim2F.mp4;0;93;93;93;;;;['3'];[0.9881821000017226];['4'];[1.6191380999807734];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3F.mp4;Sign_Stimuli/Stim3M.mp4;0;94;94;94;;;;['7'];[2.168310199980624];['7'];[1.495320799993351];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2M.mp4;Sign_Stimuli/Stim1F.mp4;0;95;95;95;;;;['1'];[1.3020915999950375];['1'];[1.2035785000189207];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3SCF.mp4;Sign_Stimuli/Stim2VCF.mp4;0;96;96;96;;;;['3'];[0.9843508000194561];['4'];[1.9756680999998935];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3SCF.mp4;Sign_Stimuli/Stim2VCM.mp4;0;97;97;97;;;;['3'];[1.6906359999848064];['3'];[2.2040589999814983];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1SCF.mp4;Sign_Stimuli/Stim2F.mp4;0;98;98;98;;;;['2'];[0.7525131000147667];['2'];[2.5045970999926794];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3VCM.mp4;Sign_Stimuli/Stim3SCM.mp4;0;99;99;99;;;;['2'];[8.253831400012132];['1'];[3.786212999984855];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3SCF.mp4;Sign_Stimuli/Stim1M.mp4;0;100;100;100;;;;['1'];[0.679134999983944];['1'];[2.969665000011446];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3SCF.mp4;Sign_Stimuli/Stim2SCM.mp4;0;101;101;101;;;;['1'];[0.5639320000191219];['1'];[2.9908231000008527];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1SCF.mp4;Sign_Stimuli/Stim3M.mp4;0;102;102;102;;;;['1'];[1.6231857000093441];['1'];[2.0934017000254244];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1VCM.mp4;Sign_Stimuli/Stim2VCM.mp4;0;103;103;103;;;;['1'];[1.1288641999999527];['1'];[2.3829410999896936];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2VCM.mp4;Sign_Stimuli/Stim2SCM.mp4;0;104;104;104;;;;['2'];[1.239524699980393];['1'];[2.814773799997056];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2SCF.mp4;Sign_Stimuli/Stim2F.mp4;0;105;105;105;;;;['2'];[1.8761892000038642];['1'];[1.7793882999976631];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3M.mp4;Sign_Stimuli/Stim2M.mp4;0;106;106;106;;;;['1'];[2.1958336000097916];['1'];[3.29666009999346];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2VCF.mp4;Sign_Stimuli/Stim1SCF.mp4;0;107;107;107;;;;['2'];[2.294401999999536];['1'];[2.2492257000121754];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2VCF.mp4;Sign_Stimuli/Stim1VCF.mp4;0;108;108;108;;;;['1'];[6.299628999986453];['1'];[6.730496400006814];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2SCM.mp4;Sign_Stimuli/Stim3M.mp4;0;109;109;109;;;;['1'];[0.6771622999804094];['1'];[1.5396027000097092];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3SCM.mp4;Sign_Stimuli/Stim2VCM.mp4;0;110;110;110;;;;['3'];[1.3027134999865666];['2'];[0.9753195000230335];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2SCF.mp4;Sign_Stimuli/Stim1VCF.mp4;0;111;111;111;;;;['2'];[0.27896249998593703];['1'];[3.2779854000255];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3VCM.mp4;Sign_Stimuli/Stim2VCF.mp4;0;112;112;112;;;;['1'];[0.5493133999989368];['1'];[1.3591854000114836];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1VCM.mp4;Sign_Stimuli/Stim1M.mp4;0;113;113;113;;;;['6'];[3.7182169999869075];['5'];[3.1081623999925796];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2F.mp4;Sign_Stimuli/Stim3F.mp4;0;114;114;114;;;;['1'];[3.6350286999950185];['1'];[1.102592100010952];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3M.mp4;Sign_Stimuli/Stim3SCF.mp4;0;115;115;115;;;;['1'];[1.4788266000105068];['1'];[1.7523326000082307];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3VCF.mp4;Sign_Stimuli/Stim2F.mp4;0;116;116;116;;;;['1'];[0.0036031999916303903];['1'];[1.3553557000122964];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1VCM.mp4;Sign_Stimuli/Stim3SCM.mp4;0;117;117;117;;;;['1'];[0.5556581999990158];['1'];[2.210193699982483];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3M.mp4;Sign_Stimuli/Stim3SCM.mp4;0;118;118;118;;;;['1'];[0.5408343000162859];['1'];[2.649695200001588];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1VCM.mp4;Sign_Stimuli/Stim1SCF.mp4;0;119;119;119;;;;['3'];[2.7180613000236917];['2'];[1.8228638999862596];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2F.mp4;Sign_Stimuli/Stim3VCM.mp4;0;120;120;120;;;;['2'];[2.7782930999819655];['1'];[2.2273483999888413];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1F.mp4;Sign_Stimuli/Stim3VCM.mp4;0;121;121;121;;;;['3'];[0.6466314000135753];['2'];[3.6732921000220813];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2VCF.mp4;Sign_Stimuli/Stim2VCM.mp4;0;122;122;122;;;;['6'];[7.401760100008687];['6'];[1.722385100001702];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3SCM.mp4;Sign_Stimuli/Stim3VCF.mp4;0;123;123;123;;;;['1'];[0.877795700012939];['1'];[3.5747397000086494];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3VCF.mp4;Sign_Stimuli/Stim1VCM.mp4;0;124;124;124;;;;['2'];[0.834519600000931];['1'];[1.2308804000203963];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2VCF.mp4;Sign_Stimuli/Stim1SCM.mp4;0;125;125;125;;;;['1'];[0.4108808000164572];['1'];[1.475350199994864];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2VCM.mp4;Sign_Stimuli/Stim2F.mp4;0;126;126;126;;;;['6'];[4.904607700009365];['5'];[1.7912729000090621];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2F.mp4;Sign_Stimuli/Stim3M.mp4;0;127;127;127;;;;['1'];[0.9594540999969468];['1'];[2.5506379999860656];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1VCF.mp4;Sign_Stimuli/Stim1SCF.mp4;0;128;128;128;;;;['2'];[1.0930139000120107];['1'];[0.8787055000138935];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1SCM.mp4;Sign_Stimuli/Stim1VCM.mp4;0;129;129;129;;;;['2'];[6.500893699994776];['1'];[3.43982099997811];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2F.mp4;Sign_Stimuli/Stim1SCM.mp4;0;130;130;130;;;;['2'];[2.0802106999908574];['1'];[0.9624599000089802];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3F.mp4;Sign_Stimuli/Stim1SCF.mp4;0;131;131;131;;;;['2'];[0.7055153000110295];['1'];[1.5743918000080157];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1SCF.mp4;Sign_Stimuli/Stim3VCM.mp4;0;132;132;132;;;;['2'];[0.8016098999942187];['1'];[1.121321100014029];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2M.mp4;Sign_Stimuli/Stim2SCM.mp4;0;133;133;133;;;;['1'];[0.4353174999996554];['1'];[1.8205886000068858];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1SCM.mp4;Sign_Stimuli/Stim1SCF.mp4;0;134;134;134;;;;['7'];[3.54116019999492];['7'];[0.9019643000210635];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2VCF.mp4;Sign_Stimuli/Stim1VCM.mp4;0;135;135;135;;;;['1'];[1.0072504999989178];['1'];[1.2361746999958996];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1F.mp4;Sign_Stimuli/Stim2VCM.mp4;0;136;136;136;;;;['1'];[0.36762129998533055];['1'];[3.9310629999963567];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2SCM.mp4;Sign_Stimuli/Stim1VCM.mp4;0;137;137;137;;;;['2'];[0.07902810000814497];['1'];[1.1950394999876153];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1F.mp4;Sign_Stimuli/Stim1M.mp4;0;138;138;138;;;;['6'];[3.8540471000014804];['5'];[1.2855102000175975];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1VCF.mp4;Sign_Stimuli/Stim1VCM.mp4;0;139;139;139;;;;['7'];[4.048633500002325];['7'];[0.6978946999879554];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1F.mp4;Sign_Stimuli/Stim3M.mp4;0;140;140;140;;;;['1'];[3.322343000007095];['1'];[1.3481668999884278];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1SCF.mp4;Sign_Stimuli/Stim1M.mp4;0;141;141;141;;;;['1'];[0.8276641000120435];['2'];[1.8125481999886688];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2VCM.mp4;Sign_Stimuli/Stim2SCF.mp4;0;142;142;142;;;;['1'];[2.0462114999827463];['1'];[2.2119327999826055];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2SCF.mp4;Sign_Stimuli/Stim3SCM.mp4;0;143;143;143;;;;['1'];[1.0787853999936488];['1'];[1.7712822000030428];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1VCF.mp4;Sign_Stimuli/Stim3F.mp4;0;144;144;144;;;;['2'];[0.5414818999997806];['1'];[1.581921400007559];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2M.mp4;Sign_Stimuli/Stim1VCF.mp4;0;145;145;145;;;;['2'];[0.3651870999892708];['1'];[0.5388316999888048];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2M.mp4;Sign_Stimuli/Stim3VCM.mp4;0;146;146;146;;;;['2'];[1.6159060999925714];['1'];[0.7532626999891363];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2SCM.mp4;Sign_Stimuli/Stim2SCF.mp4;0;147;147;147;;;;['6'];[7.224994799995329];['5'];[0.7151974000153132];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2VCM.mp4;Sign_Stimuli/Stim3VCF.mp4;0;148;148;148;;;;['1'];[1.911220100009814];['1'];[0.9218404999992345];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim2M.mp4;Sign_Stimuli/Stim3SCF.mp4;0;149;149;149;;;;['2'];[1.4397516000026371];['2'];[1.3559455000213347];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1SCF.mp4;Sign_Stimuli/Stim2SCF.mp4;0;150;150;150;;;;['1'];[0.17115939999348484];['1'];[0.49091190000763163];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim1VCM.mp4;Sign_Stimuli/Stim2M.mp4;0;151;151;151;;;;['1'];[2.171793000015896];['1'];[0.47509389999322593];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
Sign_Stimuli/Stim3F.mp4;Sign_Stimuli/Stim1M.mp4;0;152;152;152;;;;['1'];[2.1131876000144985];['1'];[0.542729100008728];None;;;;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
;;;;;;;;;;;;;;0.010605699993902817;space;8.725259500002721;hns001;1;2022-11-15_13h43.10.328;Rating-signs;2022.2.4;60.05814829797971
réponse : signe non signe pas reconnu;;;;;;;;;;;;;;;;;;;;;;
